2026-03-29 12:12:58,912 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:58,920 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,137 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,202 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,207 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,211 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,225 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,244 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,238 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,277 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,239 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,283 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,298 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,321 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,324 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,333 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:59,674 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:59,681 | INFO | app.database.session | Database tables initialized
2026-03-29 12:13:18,090 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:13:18,094 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:26,955 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:26,955 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:26,955 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:26,971 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,172 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,173 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,219 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,219 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,219 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,283 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,283 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:27,284 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:38,651 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:38,668 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:38,678 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:38,688 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:38,791 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:38,806 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:38,955 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:38,972 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:38,976 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:38,993 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,107 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:27:39,154 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,180 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,181 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,204 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,393 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,407 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,488 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,499 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,521 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,533 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,716 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:39,770 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:39,976 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:40,002 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:40,164 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:40,189 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:40,486 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:40,504 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:46,049 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:46,057 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:46,294 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:46,302 | INFO | app.database.session | Database tables initialized
2026-03-29 12:27:46,306 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:27:46,313 | INFO | app.database.session | Database tables initialized
2026-03-31 06:33:49,033 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:49,127 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,011 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,037 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,043 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,099 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,105 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,118 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,120 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,151 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,167 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:33:50,223 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:11,394 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:11,431 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:11,570 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:12,324 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:12,342 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:12,481 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:12,794 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:12,851 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:12,918 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:12,928 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:12,942 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:12,943 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:12,999 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:13,053 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:13,054 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:13,339 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:13,384 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:13,515 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:13,529 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:13,554 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:13,761 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:13,873 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:13,882 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:13,910 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:13,918 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:13,957 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:13,990 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:14,027 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:14,091 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:14,104 | INFO | app.main | 🛑 Application shutdown
